用户userId,订单编号order_no,用户编号是user_num,订单交易完成返券amount
1282974804959227906,1283735103394058242,8645877,0.02
1111159864028975105,1275714059452264449,6981868,2.64
1242341376207597570,1283366667052658690,158120,2888.59
1281192192112521217,1281193321762418689,5660702,2888.59
1240101212374675458,1280406332901494785,5618752,144.44
1080393446715252737,1283002828687720449,8633005,20.08
1283364520284057601,1283647344146964481,7156894,1.50
1104938390993707010,1281503916525113345,5646832,2888.59
1080393446715252737,1282631381083541505,8633005,2.56
1242026339970560001,1283957494808350721,8836098,30.02
1104938390993707010,1284321181482213377,5646832,2888.59
1273896593528893442,1280816849239433218,6337281,2888.59
1203989896610344962,1282861792149753857,6416412,2888.59
1281192192112521217,1282527923403780098,5660702,2888.59
1107563613752545282,1283695233346953217,5937217,0.96
1138388805277888513,1282643113743077377,746678,2888.59
1111159864028975105,1281510434395865090,6981868,2.64
1274961613188673537,1282506369987014658,1840957,0.20
1240155567446536194,1280823500898078722,6948821,2.40
1240155567446536194,1283676613237661698,6948821,4.80
1104938390993707010,1283384445960728577,5646832,2888.59
1282974804959227906,1283682560047706114,8645877,1.20
1276762308946604033,1280341643173654530,4617752,28.89
1282974804959227906,1283735769378230274,8645877,51.26
1281192192112521217,1281408257075736578,5660702,2888.59
1283282456914358273,1283360052287123458,2072388,2888.59
1138388805277888513,1281405878678876161,746678,45.35
1281192192112521217,1283636807224791041,5660702,2888.59
1277125858433085442,1283383915288997890,7035158,2888.59
1131399296174772226,1280795312746754049,9509569,0.80
1241920041245454337,1282977411083821057,8553010,2888.59
1273889183779172354,1280816849780498434,922216,2888.59
1104938390993707010,1283221349220802561,5646832,28.89
1281192192112521217,1281466918103982081,5660702,2888.59
1242026339970560001,1282634284070391810,8836098,1.50
1203989896610344962,1283231252639412225,6416412,2888.59
1138388805277888513,1280752695707181057,746678,2.20
1270966403664392193,1280754909544718337,7498428,2888.59
1104938390993707010,1283679634197700610,5646832,28.89
1281192192112521217,1281480453223612417,5660702,2888.59
1104938390993707010,1283685949066305538,5646832,2888.59
1282973504141979650,1285131988918906881,1333853,2888.59
1281192192112521217,1281408070223687682,5660702,2888.59
1282549822823264258,1282584672248823809,1477108,2888.59
1272409968957403138,1283702276724133890,5063419,2.51
1281192192112521217,1281480343085383682,5660702,57.78
1273449159187152898,1284369299170947073,4977018,2.29
1111159864028975105,1275714729714626562,6981868,2.64
1282549822823264258,1282587600539910146,1477108,2888.59
1241925350848442370,1283289597027057665,3433041,2888.59
1281192192112521217,1281466668601614337,5660702,2888.59
1130656123685101569,1280030228357373954,2920577,144.44
1283357202079215617,1283357698221420545,2107017,2888.59
1240155567446536194,1280825125083582466,6948821,2.40
1138388805277888513,1282640842078670849,746678,2888.59
1080393446715252737,1280331386514927617,8633005,57.78
1080393446715252737,1280027163164205057,8633005,57.78
1282974804959227906,1283946935174074369,8645877,2.88
1276762308946604033,1280032445168672769,4617752,28.89
1281192192112521217,1281192903858745346,5660702,2888.59
1272711938234540033,1282594048271482882,9685314,2888.59
1240155567446536194,1281783151307366401,6948821,18.75
1281192192112521217,1281477484612681730,5660702,57.78
1281192192112521217,1281406100956016642,5660702,57.78
1104938390993707010,1283011844298043393,5646832,2888.59
1240114642758381570,1280417615507914753,8709371,2888.59
1274971634614054913,1281193706480758785,3169234,57.78
1252502657459777537,1283393110230970369,1929926,2888.59
1111159864028975105,1280071330634301442,6981868,1.34
1281192192112521217,1281200057227440130,5660702,2888.59
1281192192112521217,1281200451202609153,5660702,2888.59
1276762308946604033,1280342157500182529,4617752,1.50
1138388805277888513,1283593297532641282,746678,0.05
1272409968957403138,1283583719646433281,5063419,2888.59
1276762308946604033,1280341866822332417,4617752,28.89
1242026339970560001,1282932001589972993,8836098,0.02
1131399296174772226,1280790379670630402,9509569,2888.59
1240155567446536194,1281779639190134786,6948821,4.80
1203989896610344962,1282874289963454466,6416412,2888.59
1080393446715252737,1280046084231585794,8633005,57.78
1111159864028975105,1280085354985996289,6981868,6.70
1240155567446536194,1280807684634861570,6948821,2888.59
1240204312292864002,1281058414490836994,4223317,4.95
1080393446715252737,1280384936955703298,8633005,0.89
1138388805277888513,1280412114321702914,746678,4.95
1240155567446536194,1281057076457541634,6948821,4.80
1103898493470105602,1283583033571545090,7170287,2888.59
1275727533477638145,1281188856342802433,5287753,2888.59
1104938390993707010,1283220018724659202,5646832,2888.59
1138388805277888513,1283644018432937986,746678,135.40
1274971634614054913,1281139389438750722,3169234,28.89
1111159864028975105,1274967670770290689,6981868,5.08
1138388805277888513,1283601266290778114,746678,0.35
1240155567446536194,1280778721694892033,6948821,4.80
1272409968957403138,1283683608091029505,5063419,4.72
1281192192112521217,1281418801325305858,5660702,57.78
1281192192112521217,1281194677684432898,5660702,28.89
1248530202181427202,1284037263776370690,1797173,2888.59
1272409968957403138,1283650317207998466,5063419,2.47
1080393446715252737,1280030904105885698,8633005,57.78
1240155567446536194,1280755563763908609,6948821,437.65
1281192192112521217,1281496862129389569,5660702,57.78
1277204309206822913,1281175454186852354,9639240,57.77
1276762308946604033,1280750452824088577,4617752,2868.59
1080392116667899905,1282623178459369473,942096,34.40
1130656123685101569,1280095063459770370,2920577,144.44
1274971634614054913,1281193941198204929,3169234,2888.59
1240155567446536194,1282875114387525633,6948821,2888.59
1239807426398498817,1280041510422765570,7411370,144.44
1272409968957403138,1283733894289461249,5063419,2878.59
1111159864028975105,1280082501340938242,6981868,6.70
1240104502894243841,1282932549810671618,8947338,0.23
1203989896610344962,1282878912166154242,6416412,2888.59
1138388805277888513,1282642786402816001,746678,2888.59
1274961613188673537,1282505070692298754,1840957,2888.59
1103951691392106497,1283594799680598018,9126701,2888.59
1281192192112521217,1281474694494552065,5660702,57.78
1274971634614054913,1281133470323585026,3169234,28.89
